New_ID,STUDID,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Difficulty Level,Course Recommended,Course Rating,field of interest
0,1,Young App Developer,Jordan,Suchitran,Female,10,online,24,2,Robotics Innovative Learning,5,GAME DEVELOPMENT
1,1,Young Entrepreneur,UAE,Indian School Bahrain,Male,10,online,96,4,Robotics Innovative Learning,5,GAME DEVELOPMENT
2,1,Young Honcho,Singapore,"Indian School Muscat, Oman",Male,10,offline,48,3,Python,1,GAME DEVELOPMENT
3,1,Artificial Intelligence for Non Programmers,Turkey,International school of Choueifat,Male,10,online,48,3,Technology Innovative Learning,5,GAME DEVELOPMENT
4,2,Tech Innovator,Cook Islands,AUH,Female,10,offline,48,3,Robotics Innovative Learning,4,ARTIFICIAL INTELLIGENCE
5,2,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Malaysia,Belvedere British School,Female,10,offline,48,3,Graphics Designing,4,ARTIFICIAL INTELLIGENCE
6,3,Electronics for Kids,New Zealand,Akg public school,Male,10,online,48,3,Python,3,STEM
7,3,JAVA,Ukraine,Summit International School,Female,10,offline,8,1,Coding for kids,4,STEM
8,3,Microsoft Arcade,Afghanistan,Saad ebn abi waqas,Female,10,offline,48,3,Coding for kids,3,STEM
9,3,Artificial Intelligence & Machine Learning,USA,"Middle East International School, Doha,Qatar",Male,8,hybrid,48,3,Python,5,STEM
10,4,HTML Programming,Korea,GEMS Heritage  Indian School,Female,10,offline,24,2,3D Designing,1,ELECTRONICS
11,4,3D Designing and PrintingApp Design and Development,Uruguay,Raffles World Academy,Female,10,online,96,4,AI,5,ELECTRONICS
12,5,C++ Programming,Egypt,Al Diyafah High School,Male,6,offline,48,3,AI,4,UNIQUE COURSES
13,5,Graphic Designing & Animation,Egypt,Learning Oasis International School,Female,10,hybrid,48,3,AI,5,UNIQUE COURSES
14,6,Design Thinking and Entrepreneur Program,India,other,Male,8,online,48,3,Python,1,STEM
15,7,Game Development with Unity,Cook Islands,Rani Laxmi Bai Inter College,Male,10,offline,48,3,Game Development,4,ARTIFICIAL INTELLIGENCE
16,7,Technology Innovative Learning,United Arab Emirates,Repton SchoolGems Founders,Female,10,offline,48,3,Graphics Designing,1,ARTIFICIAL INTELLIGENCE
17,8,Metaverse,Canada,Al Manar International school,Female,10,hybrid,8,1,Robotics Innovative Learning,3,DESIGNING AND ANIMATION
18,8,STEM Sr,Canada,Oaktree Primary School,Male,10,offline,48,3,App Development,1,DESIGNING AND ANIMATION
19,8,Young Innovator,Canada,Emirates International School (Meadows),Male,9,online,48,3,AI,5,DESIGNING AND ANIMATION
20,9,3D Designing & Modelling,United States,Al Diyafah High School,Female,10,hybrid,96,4,Coding for kids,4,UNIQUE COURSES
21,9,Young Web Developer,United Kingdom,philippine School,Male,10,hybrid,48,3,Game Development,5,UNIQUE COURSES
22,9,JAVA,Kuwait,"DPS, Doha",Male,10,offline,24,2,Coding for kids,4,UNIQUE COURSES
23,9,Virtual Robotics & Mechatronics,China,Our Own High School,Female,9,offline,24,2,3D Designing,3,UNIQUE COURSES
24,9,VEX Robotics,Switzerland,Akg public school,Male,10,hybrid,24,2,App Development,5,UNIQUE COURSES
25,10,Young Honcho,Singapore,AlRaja School,Male,10,offline,24,2,3D Designing,1,ELECTRONICS
26,10,Coding For KidsCoding for kids,Canada,St marys icse,Male,10,offline,48,3,App Development,4,ELECTRONICS
27,10,Design Thinking and Entrepreneur Program,Egypt,GEMS Modern Academy,Female,10,hybrid,48,3,Robotics Innovative Learning,5,ELECTRONICS
28,11,Young Coder,Taiwan,Manipal Academy of Higher Education,Male,10,online,48,3,Game Development,5,STEM
29,11,3D Designing and PrintingApp Design and Development,Bosnia and Herzegovina,Repton SchoolGems Founders,Female,10,hybrid,24,2,App Development,5,STEM
30,11,Artificial Intelligence,USA,GEMS Winchester School,Male,7,hybrid,48,3,AI,1,STEM
31,11,Game Development - Microsoft Arcade,Srilanka,Sacred heart school,Female,6,online,8,1,AI,4,STEM
32,12,Game Development - Block-Based,Qatar,Regent International Private School,Male,10,online,48,3,Coding for kids,5,GAME DEVELOPMENT
33,12,Programming & Coding - Python/JAVA/HTML/C/C++,Nigeria,Oaktree Primary School,Male,10,offline,48,3,Graphics Designing,4,GAME DEVELOPMENT
34,13,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,United States,Cambridge International School Private,Female,10,hybrid,48,3,3D Designing,4,ARTIFICIAL INTELLIGENCE
35,13,Young Data Scientist,Pakistan,GEMS Wellington International School,Female,10,online,48,3,Technology Innovative Learning,1,ARTIFICIAL INTELLIGENCE
36,13,Web Development,Bahrain,Dubai English Speaking School,Female,10,online,48,3,Coding for kids,3,ARTIFICIAL INTELLIGENCE
37,13,French Language Course,Egypt,Al Arqm Private School,Male,10,online,24,2,AI,5,ARTIFICIAL INTELLIGENCE
38,13,Young Web Developer,Armenia,Gravi,Female,10,offline,48,3,Graphics Designing,4,ARTIFICIAL INTELLIGENCE
39,14,Coding For KidsCoding for kids,UAE,GEMS International School- Al Khail,Male,10,online,48,3,App Development,1,UNIQUE COURSES
40,14,3D Designing and PrintingApp Design and Development,Iran,Wesgreen International School,Female,10,hybrid,24,2,Robotics Innovative Learning,5,UNIQUE COURSES
41,15,Young Coder,Bosnia and Herzegovina,GEMOOSH,Female,8,offline,48,3,AI,1,DESIGNING AND ANIMATION
42,15,Young App Developer,Afghanistan,MAHE Dubai,Male,10,offline,24,2,App Development,5,DESIGNING AND ANIMATION
43,15,Scratch Coding,Singapore,"Amity School, Sharjah",Male,10,hybrid,96,4,AI,4,DESIGNING AND ANIMATION
44,15,Artificial Intelligence,Syria,Sharjah Private International School,Male,10,offline,96,4,3D Designing,4,DESIGNING AND ANIMATION
45,16,Scratch Coding,Singapore,GEMS Winchester School,Female,8,hybrid,24,2,App Development,4,DESIGNING AND ANIMATION
46,16,Virtual Robotics & Mechatronics,UAE,Carmel School Kuwait,Male,10,offline,8,1,Python,1,DESIGNING AND ANIMATION
47,16,French Language Course,Uruguay,Ambassador International Academy,Female,10,offline,8,1,Coding for kids,5,DESIGNING AND ANIMATION
48,16,Graphic Designing,Oman,"GD Goenka Public School, Agra, India",Male,10,hybrid,96,4,Python,5,DESIGNING AND ANIMATION
49,16,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Armenia,Al Manar International school,Female,10,offline,24,2,AI,5,DESIGNING AND ANIMATION
50,17,STEM Jr,Saudi Arabia,University of Wollongong,Male,10,hybrid,48,3,Game Development,5,STEM
51,17,App Development,Korea,Victory Heights Primary School,Male,10,offline,48,3,3D Designing,4,STEM
52,17,Data Analysis with PythonData Science,Armenia,Dubai English Speaking private college,Male,10,offline,24,2,AI,1,STEM
53,17,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Bahrain,Mayoor Private school  abudhabi,Male,10,online,24,2,Technology Innovative Learning,5,STEM
54,18,Artificial Intelligence & Machine Learning,Afghanistan,Jumeirah English Speaking School (Br),Male,10,online,24,2,3D Designing,4,DESIGNING AND ANIMATION
55,18,VEX Robotics,Pakistan,Al Watania,Male,10,hybrid,96,4,App Development,4,DESIGNING AND ANIMATION
56,18,Programming & Coding - Python/JAVA/HTML/C/C++,Cuba,Cambridge International School Private,Female,10,hybrid,96,4,Technology Innovative Learning,5,DESIGNING AND ANIMATION
57,19,3D Designing and PrintingApp Design and Development,Cook Islands,Apple International School,Female,8,hybrid,24,2,Technology Innovative Learning,5,CODING
58,19,Young Designer,Malaysia,Advanced Learning Schools Riyadh,Male,10,offline,24,2,Python,5,CODING
59,19,Microsoft Arcade,Switzerland,International school of Choueifat,Male,8,online,96,4,Game Development,3,CODING
60,19,Coding For KidsCoding for kids,Canada,BISES,Male,10,offline,96,4,AI,5,CODING
61,20,Young Entrepreneur,Saudi Arabia,Al Naseem International School,Female,8,offline,24,2,Coding for kids,3,UNIQUE COURSES
62,20,C++ Programming,United Arab Emirates,GEMS Wellington International School,Male,10,online,48,3,3D Designing,3,UNIQUE COURSES
63,20,LEGO Robotics,Singapore,Belvedere British School,Male,10,offline,96,4,Technology Innovative Learning,4,UNIQUE COURSES
64,20,JAVA,Uganda,Manipal Academy of Higher Education,Male,10,online,48,3,Coding for kids,4,UNIQUE COURSES
65,21,Design Thinking and Entrepreneur Program,Ukraine,Al Basateen Private Nursery Hatta branch,Male,10,online,48,3,Game Development,5,DESIGNING AND ANIMATION
66,21,Young Product Designer,United States,Alhussan International School,Female,10,hybrid,96,4,AI,5,DESIGNING AND ANIMATION
67,21,Young Innovator,Saudi Arabia,Akg public school,Male,10,online,48,3,Game Development,4,DESIGNING AND ANIMATION
68,21,Python Programming,Singapore,DAA,Male,10,online,48,3,AI,4,DESIGNING AND ANIMATION
69,21,Artificial Intelligence for Non Programmers,Jordan,GEMS Wellington Academy,Male,10,hybrid,48,3,Graphics Designing,1,DESIGNING AND ANIMATION
70,22,Electronics for Kids,Cook Islands,Ambersrdm,Female,10,online,48,3,AI,5,STEM
71,22,Graphic Designing & Animation,Palestine,Crescent English School,Male,10,offline,8,1,AI,5,STEM
72,22,Young Product Designer,Bahrain,"DPS, Doha",Male,10,online,48,3,Robotics Innovative Learning,4,STEM
73,23,HTML Programming,Ukraine,Millennium Sharjah,Female,10,offline,48,3,Robotics Innovative Learning,3,GAME DEVELOPMENT
74,23,Python Programming,Palestine,"Camp, Amity ( Al Nadha)",Male,10,offline,48,3,Coding for kids,5,GAME DEVELOPMENT
75,23,Game Development - Microsoft Arcade,Afghanistan,Al Khaleej National School,Male,8,offline,96,4,3D Designing,3,GAME DEVELOPMENT
76,24,Web Development,Russia,Primus Private School LLC,Female,10,hybrid,8,1,Graphics Designing,5,GAME DEVELOPMENT
77,25,Young App Developer,Switzerland,Al Maaref Private School (LLC),Male,10,online,48,3,AI,4,UNIQUE COURSES
78,25,Tech Innovator,Ukraine,Cardiff international school / Qatar Finland I fee atop all school,Female,9,hybrid,48,3,Graphics Designing,1,UNIQUE COURSES
79,25,Technology Innovative Learning,Egypt,Al majd international school,Male,10,hybrid,24,2,AI,4,UNIQUE COURSES
80,25,Graphic Designing & Animation,Bahrain,Merryland International School,Female,10,online,24,2,Technology Innovative Learning,5,UNIQUE COURSES
81,25,Young Product Designer,Switzerland,Regent International Private School,Male,10,offline,96,4,Technology Innovative Learning,1,UNIQUE COURSES
82,26,Graphic Designing & Animation,Uganda,Ambassador International Academy,Male,10,hybrid,48,3,Robotics Innovative Learning,1,STEM
83,26,Young Honcho,Venezuela,DPS,Female,10,online,8,1,Graphics Designing,3,STEM
84,26,Young Web Developer,Poland,GEMS Wellington Academy (Branch),Female,10,offline,96,4,Game Development,1,STEM
85,26,Python Programming,China,Carmel School Kuwait,Male,10,hybrid,48,3,Robotics Innovative Learning,5,STEM
86,27,Arduino,USA,Ow qusm high school,Male,9,online,24,2,3D Designing,1,DESIGNING AND ANIMATION
87,28,Python Programming,China,Al Adab Iranian Private School for Boys,Female,10,offline,48,3,AI,1,ELECTRONICS
88,29,App Development,Syria,Al Manar International school,Female,10,online,48,3,AI,5,CODING
89,29,Young Designer,Taiwan,Saad ebn abi waqas,Male,10,offline,24,2,Robotics Innovative Learning,3,CODING
90,29,Artificial Intelligence for Non Programmers,Palestine,JSS PRIVATE SCHOOL LLC,Female,8,offline,24,2,Technology Innovative Learning,1,CODING
91,30,Scratch Coding,Palestine,LLfp,Female,10,hybrid,8,1,AI,4,STEM
92,30,Game Development,Cameroon,Khawla bent al azwar,Male,8,hybrid,8,1,Game Development,1,STEM
93,30,French Language Course,Srilanka,Arcadia School,Female,10,online,24,2,Robotics Innovative Learning,4,STEM
94,31,French Language Course,Nigeria,Al Ain English Speaking School,Male,8,hybrid,8,1,AI,4,DESIGNING AND ANIMATION
95,32,STEM Jr,Ukraine,Dubai College,Female,10,offline,48,3,App Development,3,UNIQUE COURSES
96,32,Technology Innovative Learning,USA,Al Adab Iranian Private School for Boys,Female,9,online,48,3,Robotics Innovative Learning,4,UNIQUE COURSES
97,32,Graphic Designing,Ukraine,Dubai Scholars Private School,Male,10,online,24,2,Robotics Innovative Learning,3,UNIQUE COURSES
98,32,Space STEM,Oman,GEMS Westminster,Female,10,offline,48,3,Graphics Designing,4,UNIQUE COURSES
99,32,VEX Robotics,Uganda,Al Diyafah High School,Female,10,online,48,3,Python,4,UNIQUE COURSES
100,33,French Language Course,Armenia,Dubai Scholars Private School,Female,8,hybrid,48,3,App Development,4,DESIGNING AND ANIMATION
101,34,LEGO Robotics,Afghanistan,ST laurence school Sallins,Female,10,online,48,3,AI,1,CODING
102,35,Electronics for Kids,United States,GEMS Wellington Academy,Male,8,online,96,4,3D Designing,4,DESIGNING AND ANIMATION
103,35,Young Data Scientist,Bahrain,Al Diyafah High School,Female,8,online,48,3,Technology Innovative Learning,4,DESIGNING AND ANIMATION
104,35,Artificial Intelligence,Korea,MAHE Dubai,Female,10,offline,24,2,Game Development,5,DESIGNING AND ANIMATION
105,35,3D Designing and PrintingApp Design and Development,Iraq,Apeejay school,Female,8,online,48,3,AI,4,DESIGNING AND ANIMATION
106,35,Young Designer,India,GEMS,Male,9,online,24,2,3D Designing,1,DESIGNING AND ANIMATION
107,36,STEM Jr,United States,Ambassador International Academy,Male,10,hybrid,48,3,AI,3,CODING
108,37,Young App Developer,Cuba,JSS PRIVATE SCHOOL,Female,10,offline,48,3,3D Designing,1,GAME DEVELOPMENT
109,37,Young Game Developer,Iran,Arcadia School,Male,8,hybrid,8,1,Graphics Designing,4,GAME DEVELOPMENT
110,38,Scratch Coding,Armenia,Arcadia School,Male,8,hybrid,48,3,App Development,4,ROBOTICS
111,38,Data Analysis with PythonData Science,Cook Islands,Arcadia School,Female,6,online,24,2,Technology Innovative Learning,4,ROBOTICS
112,38,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Srilanka,Gulf Asian English school,Female,9,hybrid,24,2,Game Development,3,ROBOTICS
113,38,Drone Technology & Aerodynamics,Uruguay,Arcadia School,Male,8,hybrid,48,3,AI,1,ROBOTICS
114,38,Young Product Designer,Uganda,Arcadia School,Female,8,online,48,3,Graphics Designing,4,ROBOTICS
115,39,Internet of Things,New Zealand,Arcadia School,Female,8,offline,24,2,Coding for kids,3,GAME DEVELOPMENT
116,39,Game Development,Nigeria,Arcadia School,Male,8,online,24,2,Game Development,1,GAME DEVELOPMENT
117,40,Game Development,UAE,Arcadia School,Male,8,offline,24,2,Robotics Innovative Learning,1,DESIGNING AND ANIMATION
118,40,3D Designing,Cook Islands,Arcadia School,Male,8,hybrid,24,2,Python,3,DESIGNING AND ANIMATION
119,40,Technology Innovative Learning,Pakistan,Arcadia School,Male,8,online,96,4,Python,1,DESIGNING AND ANIMATION
120,40,Young Entrepreneur,Syria,Arcadia School,Male,8,online,48,3,3D Designing,3,DESIGNING AND ANIMATION
121,41,Tech Innovator,Venezuela,Arcadia School,Male,8,offline,24,2,Technology Innovative Learning,4,ROBOTICS
122,41,Drone Technology & Aerodynamics,Bahrain,Arcadia School,Female,8,online,48,3,Graphics Designing,4,ROBOTICS
123,42,Game Development,Kuwait,Emirates International School (Meadows),Female,8,online,48,3,Game Development,4,CODING
124,42,STEM Jr,Uganda,Dubai International Academy,Female,9,online,24,2,Python,4,CODING
125,43,Artificial Intelligence,Ireland,Suncity school,Female,9,online,48,3,Coding for kids,5,CODING
126,43,Young Game Developer,Turkey,Gems Wellington Academy Silicon Oasis,Female,9,offline,48,3,Graphics Designing,4,CODING
127,43,Young Entrepreneur,Cook Islands,Al Ansar International School,Female,10,hybrid,96,4,Graphics Designing,5,CODING
128,44,STEM Jr,Russia,JSS PRIVATE SCHOOL,Female,9,hybrid,48,3,Coding for kids,4,UNIQUE COURSES
129,44,Young Honcho,Armenia,GEMS United School,Male,10,online,48,3,AI,4,UNIQUE COURSES
130,44,Design Thinking and Entrepreneur Program,Nigeria,"Millennium School, Shj",Female,10,hybrid,8,1,Robotics Innovative Learning,4,UNIQUE COURSES
131,44,Game Development - Block-Based,Korea,Cambridge International School Private,Male,10,offline,48,3,3D Designing,1,UNIQUE COURSES
132,45,Graphic Designing,Singapore,Indian High School,Female,10,offline,48,3,AI,1,ROBOTICS
133,45,Drone Technology,Korea,"GEMS Cambridge School, Sharjah",Female,9,hybrid,48,3,AI,5,ROBOTICS
134,45,JAVA,Taiwan,"GEMS Cambridge School, Sharjah",Female,8,hybrid,24,2,Technology Innovative Learning,4,ROBOTICS
135,45,LEGO Robotics,Venezuela,Private,Male,10,offline,48,3,Game Development,3,ROBOTICS
136,45,Young Innovator,Iraq,Father Agnel School,Female,10,online,48,3,AI,3,ROBOTICS
137,46,Graphic Designing,Cook Islands,Reach British School,Female,10,online,48,3,Game Development,5,DESIGNING AND ANIMATION
138,46,Young Entrepreneur,Afghanistan,Summit International School,Female,8,hybrid,48,3,AI,4,DESIGNING AND ANIMATION
139,46,Game Development with Unity,UAE,AL mawakeb school,Female,10,online,96,4,Coding for kids,3,DESIGNING AND ANIMATION
140,46,Web Development,India,Al Ain English Speaking School,Male,10,hybrid,48,3,AI,4,DESIGNING AND ANIMATION
141,46,C++ Programming,UAE,Vibgyor,Female,10,online,24,2,Python,4,DESIGNING AND ANIMATION
142,47,Internet of Things,Iran,Dubai Scholars Private School,Male,10,offline,96,4,App Development,5,ELECTRONICS
143,48,Arduino,Nigeria,Army Public School,Male,10,hybrid,24,2,Python,5,ARTIFICIAL INTELLIGENCE
144,48,Python Programming,United States,Shaufa International School,Female,7,hybrid,24,2,3D Designing,1,ARTIFICIAL INTELLIGENCE
145,49,Game Development,Canada,Raffles World Academy,Male,10,online,48,3,App Development,1,GAME DEVELOPMENT
146,49,Game Development - Block-Based,Venezuela,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Graphics Designing,4,GAME DEVELOPMENT
147,49,Technology Innovative Learning,Bahrain,Al Basateen Private Nursery Hatta branch,Female,10,offline,48,3,AI,3,GAME DEVELOPMENT
148,49,Graphic Designing & Animation,Bosnia and Herzegovina,GEMS Millennium Sharjah,Female,10,online,48,3,Coding for kids,4,GAME DEVELOPMENT
