Student Name,Student_ID,Previous Course selected,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 1,41059,Young Coder,Robotics,United Kingdom,Suchitran,Female,10.0,online,24,Art,2,Robotics Innovative Learning,5
student 2,57901,Game Development,Robotics,Poland,Indian School Bahrain,Male,10.0,online,96,Mathematics,4,Robotics Innovative Learning,5
student 3,51484,HTML Programming,Robotics,China,"Indian School Muscat, Oman",Male,10.0,offline,48,Music,3,Python,1
student 4,81489,Artificial Intelligence of Things (AIoT),Python Programming,Palestine,International school of Choueifat,Female,10.0,online,48,Music,3,Technology Innovative Learning,5
student 5,29372,Drone Technology & Aerodynamics,Python Programming,United States,AUH,Female,10.0,offline,48,Technology,3,Robotics Innovative Learning,4
student 6,30300,3D Designing,Artificial Intelligence,Armenia,Belvedere British School,Female,10.0,offline,48,Mathematics,3,Graphics Designing,4
student 7,17741,Young App Developer,Robotics,Venezuela,Akg public school,Female,10.0,online,48,Mathematics,3,Python,3
student 9,48255,Young Product Designer,Python Programming,India,Summit International School,Male,10.0,offline,8,Art,1,Coding for kids,4
student 10,75984,STEM Sr,Robotics,India,Saad ebn abi waqas,Male,10.0,offline,48,Art,3,Coding for kids,3
student 11,48015,3D Designing,Game and App Development,Canada,"Middle East International School, Doha,Qatar",Female,8.0,hybrid,48,Sports,3,Python,5
student 12,66650,HTML Programming,Robotics,Cook Islands,GEMS Heritage  Indian School,Female,10.0,offline,24,Science,2,3D Designing,1
student 14,21223,C++ Programming,Artificial Intelligence,Bahrain,Raffles World Academy,Male,10.0,online,96,Sports,4,AI,5
student 15,54779,Data Science,Game and App Development,Egypt,Al Diyafah High School,Male,6.0,offline,48,Science,3,AI,4
student 16,84209,Young Designer,Robotics,Uruguay,Learning Oasis International School,Male,10.0,hybrid,48,Sports,3,AI,5
student 20,32770,Artificial Intelligence for Non Programmers,Technology Innovative Learning,Oman,other,Male,8.0,online,48,Sports,3,Python,1
student 21,65716,Young Entrepreneur,Graphic Designing & Animation,Malaysia,Rani Laxmi Bai Inter College,Female,10.0,offline,48,Mathematics,3,Game Development,4
student 22,99569,Artificial Intelligence,Public Speaking & Entrepreneurship,United States,Repton SchoolGems Founders,Male,10.0,offline,48,Mathematics,3,Graphics Designing,1
student 23,68310,Young Game Developer,Python Programming,United Arab Emirates,Al Manar International school,Male,10.0,hybrid,8,Music,1,Robotics Innovative Learning,3
student 24,38986,3D Designing & Modelling,Metaverse,Kuwait,Oaktree Primary School,Female,10.0,offline,48,Music,3,App Development,1
student 25,70337,Young App Developer,Robotics,India,Emirates International School (Meadows),Female,9.0,online,48,Music,3,AI,5
student 26,21074,3D Designing and Printing,Robotics,Cook Islands,Al Diyafah High School,Female,10.0,hybrid,96,Art,4,Coding for kids,4
student 27,27159,Electronics Program,Drone Technology,Nigeria,philippine School,Male,10.0,hybrid,48,Art,3,Game Development,5
student 28,97121,Public Speaking & Entrepreneurship,Robotics,Syria,"DPS, Doha",Female,10.0,offline,24,Technology,2,Coding for kids,4
student 29,49482,Virtual Robotics & Mechatronics,Artificial Intelligence,Malaysia,Our Own High School,Male,9.0,offline,24,Art,2,3D Designing,3
student 30,46087,C Programming,Robotics,India,Akg public school,Female,10.0,hybrid,24,Sports,2,App Development,5
student 31,79840,Young Designer,Robotics,Palestine,AlRaja School,Male,10.0,offline,24,Technology,2,3D Designing,1
student 32,90202,C Programming,Robotics,Cook Islands,St marys icse,Female,10.0,offline,48,Technology,3,App Development,4
student 33,32174,App Development,Artificial Intelligence,New Zealand,GEMS Modern Academy,Male,10.0,hybrid,48,Science,3,Robotics Innovative Learning,5
